Name,Type,Lat,Lon
Biserica Ortodoxă „16 Februarie”,lacase_cult,44.4882733,26.0229883
"Biserica Ortodoxă ""Sfinții Apostoli Petru și Pavel""",lacase_cult,47.6600365,24.3565419
Biserica de lemn din Săliștea de Sus - Nistorești,lacase_cult,47.6625437,24.3557335
Biserica Ortodoxă Țesătorilor,lacase_cult,45.7181784,24.1542305
Biserica Ortodoxă Sfânta Treime,lacase_cult,45.7099205,24.1420579
Biserica Greco-catolică,lacase_cult,45.7093303,24.1414314
Biserica Betel,lacase_cult,45.7104556,24.1433456
Biserica Talpa,lacase_cult,47.9012159,26.2411133
Biserica Creștină Adventistă,lacase_cult,47.8384934,26.6061995
Biserica,lacase_cult,47.8365381,26.626183
Biserica Ortodoxă Roma,lacase_cult,47.8369683,26.5992313
Biserica Sarafinești,lacase_cult,47.6169525,26.6052479
Biserica,lacase_cult,47.5996741,26.6435368
Biserica Catolică,lacase_cult,45.8644807,25.8098051
Biserica Sf. Cruce,lacase_cult,45.4390522,28.0291405
Biserica Sf Apostoli Petru și Pavel,lacase_cult,45.9114006,23.852277
Mănăstirea Stânișoara,lacase_cult,45.3019434,24.3383549
Biserica Sfântul Gheorghe,lacase_cult,43.7719976,23.9502596
Biserica Ortodoxă Bujoreni-Olteni,lacase_cult,45.1457901,24.3851187
Mănăstirea Cerbu,lacase_cult,44.9338734,28.4351293
Mănăstirea Horaița,lacase_cult,47.0585682,26.280081
Mănăstirea Dragomirești,lacase_cult,47.67254,24.29021
Mănăstirea Almas Putna,lacase_cult,44.93341,22.17096
Mănăstirea Ilva Mare,lacase_cult,47.37464,24.9193
Mănăstirea Nocrich Hartibaci,lacase_cult,45.8725755,24.4480628
Mănăstirea Sfântul Pantelimon,lacase_cult,44.35934,24.97335
Mănăstirea Parepa,lacase_cult,44.9010143,26.360882
Mănăstirea Soldana,lacase_cult,47.53627,27.28277
